ADM3_PCODE,events,events_VAC,events_Battles,events_Riots,events_Protests,events_ERV,events_SD,conflict_diffusion_indicator,cdi_VAC,cdi_Battles,cdi_Riots,cdi_Protests,cdi_ERV,cdi_SD
BF520104,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142
BF520105,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0
BF520106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF520107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF520201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF520202,19.0,2.0,2.0,0.0,10.0,0.0,5.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2
BF520203,54.0,26.0,16.0,0.0,0.0,6.0,6.0,0.2777777777777778,0.25,0.1388888888888889,0.0,0.0,0.1111111111111111,0.1111111111111111
BF520204,43.0,29.0,6.0,0.0,0.0,4.0,4.0,0.2222222222222222,0.15555555555555556,0.08888888888888889,0.0,0.0,0.022222222222222223,0.06666666666666667
BF520205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF520206,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091
BF520301,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1
BF520302,16.0,8.0,5.0,0.0,0.0,2.0,1.0,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.0,0.0,0.11764705882352941,0.058823529411764705
BF520303,9.0,6.0,1.0,0.0,2.0,0.0,0.0,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0
BF520401,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666
BF520402,8.0,3.0,3.0,0.0,0.0,0.0,2.0,0.25,0.16666666666666666,0.25,0.0,0.0,0.0,0.08333333333333333
BF520403,45.0,21.0,13.0,0.0,2.0,2.0,7.0,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.0,0.02040816326530612,0.02040816326530612,0.08163265306122448
BF520501,7.0,0.0,1.0,0.0,0.0,0.0,6.0,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0,0.13043478260869565
BF520502,16.0,6.0,4.0,0.0,2.0,0.0,4.0,0.26666666666666666,0.1,0.06666666666666667,0.0,0.03333333333333333,0.0,0.13333333333333333
