ADM3_PCODE,count_min,count_max,count_mean,count_median,count_stdDev,cv_area_min,cv_area_max,cv_area_mean,cv_area_median,cv_area_stdDev,cv_length_min,cv_length_max,cv_length_mean,cv_length_median,cv_length_stdDev,density_min,density_max,density_mean,density_median,density_stdDev,mean_area_min,mean_area_max,mean_area_mean,mean_area_median,mean_area_stdDev,mean_length_min,mean_length_max,mean_length_mean,mean_length_median,mean_length_stdDev,total_length_min,total_length_max,total_length_mean,total_length_median,total_length_stdDev,urban_min,urban_max,urban_mean,urban_median,urban_stdDev
BF460307,1.0,96.0,9.917224651750775,5.0,12.475457584258905,0.0,2.050560235977173,0.4230165575579155,0.4604544200003147,0.33464906795004307,0.0,0.9198654294013977,0.22335073213276901,0.2517406884351286,0.17719509583304555,120.19307708740234,11547.517578125,1192.38236743888,601.1492441766273,1500.0961295533216,5.19471549987793,327.9959411621094,31.354650721337457,24.953413372611926,32.372869125001564,9.130860328674316,86.01984405517578,21.525870281550528,20.25294848850795,8.432552163746932,9.130860328674316,2147.36279296875,206.45937411239018,104.32226817451328,260.18330640821233,0,0,0.0,0.0,0.0
BF460308,1.0,59.0,5.797898476337674,2.0,8.033875654868725,0.0,1.30951726436615,0.3709677696746099,0.4092467725276947,0.3376858551576494,0.0,0.9414440393447876,0.19978587677629253,0.20463363329569498,0.18746874584870749,120.06584930419922,7086.91162109375,696.3143118479271,240.1955630383696,964.8608410767167,4.972232341766357,280.4911804199219,30.167897274428746,26.921627493327836,24.619805945311477,9.109000205993652,109.89044189453125,21.205598169657943,20.248114923048764,7.619586387155725,9.109000205993652,1227.7938232421875,123.53781146721796,51.275488575763255,173.14866562794302,0,0,0.0,0.0,0.0
BF460309,1.0,89.0,7.9595553014243245,4.0,10.0103738345922,0.0,2.0509159564971924,0.43762029523744117,0.46086113717874794,0.3357363115989838,0.0,1.2209692001342773,0.23823590989927648,0.24599486780363555,0.18688224416859026,119.83272552490234,10669.109375,954.5926455542347,479.735704971501,1200.5382271835867,4.7923078536987305,450.40350341796875,29.969118909887488,22.988621836035204,28.37116836950058,8.756629943847656,114.72161102294922,21.105565658724714,19.752176646862843,7.858768272217235,8.756629943847656,1695.919921875,173.1173237212953,75.98804764959792,231.48276401063646,0,0,0.0,0.0,0.0
BF460311,1.0,53.0,9.200819743815483,4.0,11.134068166254089,0.0,1.5482319593429565,0.4179679986937429,0.426283104552163,0.33479721850246014,0.0,0.9511781334877014,0.2204265328756707,0.22437455505132675,0.18131020876408266,119.91039276123047,6357.2685546875,1103.7612880931708,479.8495620727539,1335.71564561575,5.079860210418701,291.2608337402344,31.539408164517905,25.06802600037818,31.65657412800779,9.164254188537598,80.7852783203125,21.51897215272304,19.745525228566137,8.415958700388504,9.164254188537598,1281.7757568359375,192.5802913041235,83.98580896286737,240.72121176948338,0,0,0.0,0.0,0.0
BF460401,1.0,74.0,5.074839817564833,2.0,7.63708897650411,0.0,1.7404154539108276,0.3055615363382574,0.2697556850522064,0.3139434694317142,0.0,1.0626966953277588,0.1637735398405864,0.14473878480922217,0.17158222294872533,119.48136138916016,8848.58203125,606.6344186117732,239.07315232880813,912.9269062243845,4.708031177520752,482.8936462402344,25.517507622713193,19.00471146536095,27.45748529611626,8.806093215942383,107.60555267333984,19.439609641965163,17.750692003436857,7.615987212879777,8.806093215942383,1794.9195556640625,100.58305217532761,44.1024793679632,164.08215617005243,0,0,0.0,0.0,0.0
BF460402,1.0,109.0,7.218315221953915,3.0,9.648866512499614,0.0,2.1908740997314453,0.36752866085505387,0.38306110784595393,0.34183452971286316,0.0,1.213217854499817,0.19755655655204837,0.19963731960971146,0.190134060234872,119.68856811523438,13048.2666015625,864.586489708222,359.31930630028455,1155.7246389209743,4.685281753540039,8585.6416015625,33.15371386246868,23.939703655512663,90.94932291416214,8.7385835647583,380.82196044921875,21.286253204214546,18.978313705280446,10.427809125133347,8.7385835647583,2416.9423828125,161.03486636791376,55.783309102506436,231.6120493785632,0,1,0.20615507060231936,0.0,0.4041631413853451
BF460403,1.0,71.0,7.064824855342336,3.0,10.190778187566261,0.0,1.7329646348953247,0.34026423175930426,0.34699730439619586,0.32552781667866504,0.0,1.2391990423202515,0.1808549591079308,0.175375174317095,0.17534861954096914,119.74628448486328,8509.2470703125,846.5144394607876,359.439265342577,1221.077647797469,5.352505207061768,415.7118225097656,28.04457853166921,21.007304543393712,30.936714160981087,9.3511381149292,92.01172637939453,20.112867937679088,18.27661377970287,7.935852311614759,9.3511381149292,1889.69287109375,148.61890183590762,59.4449633357838,234.27237963875464,0,0,0.0,0.0,0.0
BF460404,1.0,81.0,5.413671947065674,2.0,9.211036269948142,0.0,2.0608365535736084,0.27657149447341345,0.1806927690418755,0.3086750597599814,0.0,1.5382877588272095,0.14746367219736645,0.09001933286587398,0.16987555102550558,119.5780029296875,9688.6513671875,647.6550358552281,239.28438039065233,1101.8907530664392,4.893974304199219,303.49249267578125,22.652964325616228,18.99657851035992,21.119743776766672,8.899832725524902,80.94581604003906,18.42938094227021,17.244521544968745,6.35540819883704,8.899832725524902,1835.0174560546875,104.92201864899084,35.410627523484216,189.32439212802657,0,0,0.0,0.0,0.0
BF460405,1.0,64.0,4.268221487399454,2.0,5.626648950966358,0.0,2.0630078315734863,0.3051930089424205,0.25773077105115727,0.31766531380687774,0.0,1.3408831357955933,0.16392252967699206,0.1369761491025036,0.17621008720895603,119.5710220336914,7657.79541015625,510.6291366972684,239.26619599118422,673.1381619437561,4.873595237731934,639.9082641601562,24.552597517009893,17.886256743002964,26.527016605533383,8.929610252380371,166.08274841308594,19.072419219379352,17.507231698976845,7.438260601003545,8.929610252380371,1286.5528564453125,82.46283542146735,43.88121875878447,116.1353491355909,0,0,0.0,0.0,0.0
BF460406,1.0,92.0,8.948741665757755,3.0,12.84319686202198,0.0,1.7842588424682617,0.3566863839882818,0.3866237498098804,0.32425276955457416,0.0,1.049421787261963,0.19192998557213964,0.19925967877109846,0.17752399911988648,119.53743743896484,11005.380859375,1070.5259322331376,358.9104515395782,1536.2838398899555,5.056830406188965,493.2928161621094,27.596060187488366,23.020389266706495,27.979899054492623,9.123211860656738,100.60037994384766,20.236493187768847,19.250095414379885,7.536334810727873,9.123211860656738,2049.130859375,188.6410375885876,67.90585666232639,282.126421809412,0,0,0.0,0.0,0.0
